,,,,,,chirals,chirals,invalid,invalid,valid,valid,unique,unique,novel,novel,invalid%,invalid%,valid%,valid%,unique%,unique%,novel%,novel%
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
aug,notation,hl,hu,bs,lr,,,,,,,,,,,,,,,,,,
1,SELFIES,2,256,256,0.001,2212.6,718.1861179387972,1032.2,416.1774861762707,1180.4,304.11067064475066,1180.4,304.11067064475066,1180.4,304.11067064475066,0.45511787544064547,0.04668387773859099,0.5448821245593545,0.04668387773859098,1.0,0.0,1.0,0.0
1,SELFIES,2,256,512,0.001,1926.0,107.9814798935447,898.2,65.1436873380683,1027.8,43.83719881561777,1027.4,43.60389890823984,1027.2,43.49367770147749,0.4660171053125783,0.00831796374220336,0.5339828946874217,0.008317963742203414,0.9996186844613918,0.0008526474652048959,0.9998089780324737,0.0004271381045845028
1,SELFIES,2,512,256,0.001,1844.2,145.5255991226286,707.0,78.32304897027439,1137.2,85.21267511350644,1136.4,85.69013945606576,1131.6,86.41932654215722,0.3829930976916989,0.02078037425424392,0.6170069023083011,0.020780374254243915,0.9992651104134758,0.0010126906528910142,0.9957120129255106,0.0019552475223017568
1,SELFIES,2,512,512,0.001,1818.2,42.198341199625375,666.2,40.214425272531244,1152.0,16.015617378046965,1151.6,16.592166826548002,1144.4,15.915401345866211,0.3661813447819721,0.014858927859951151,0.6338186552180278,0.014858927859951142,0.9996472663139329,0.0007887364999999506,0.9937536688706267,0.0006573036115260067
1,SELFIES,3,256,256,0.001,1798.6,356.12259125194515,835.8,208.94784038127793,962.8,156.94170892404605,962.8,156.94170892404605,962.6,156.93406258680747,0.45969821847955583,0.04074532815514661,0.5403017815204442,0.04074532815514661,1.0,0.0,0.9997933884297521,0.0004619975160123393
1,SELFIES,3,256,512,0.001,2047.0,146.061630827538,978.8,96.9984535959208,1068.2,64.12643760571765,1068.2,64.12643760571765,1068.0,64.3622560201241,0.47759920972685865,0.018622704424261886,0.5224007902731413,0.018622704424261883,1.0,0.0,0.9998015873015873,0.0004436642812499567
1,SELFIES,3,512,256,0.001,1956.8,377.1010474660605,775.0,153.27589503897866,1181.8,229.32117215817647,1181.2,229.52712258031727,1178.2,230.77088204537418,0.3959082793588631,0.01847022055422422,0.6040917206411369,0.018470220554224225,0.9994642857142857,0.001197893559374883,0.9972680175557361,0.0017718456443812857
1,SELFIES,3,512,512,0.001,1826.0,161.24980620143393,669.0,92.67416036846517,1157.0,105.5533040695553,1157.0,105.5533040695553,1150.6,105.69200537410575,0.36574441441674815,0.03296810867583578,0.6342555855832519,0.032968108675835786,1.0,0.0,0.9944196584232401,0.002746418343554691
1,SMILES,2,256,256,0.001,1925.2,153.78458960507064,797.8,340.0208817116972,1127.4,304.13204369155187,1127.4,304.13204369155187,1126.6,303.8466718593442,0.41139933086768643,0.15739407211805614,0.5886006691323136,0.15739407211805614,1.0,0.0,0.9993358872396805,0.0006603310830608598
1,SMILES,2,256,512,0.001,1889.0,73.3314393694819,688.2,75.31068981227034,1200.8,7.155417527999327,1200.8,7.155417527999327,1198.4,7.92464510246358,0.36355897337095266,0.024710499410549962,0.6364410266290473,0.02471049941054992,1.0,0.0,0.998000104555724,0.002247785250788637
1,SMILES,2,512,256,0.001,1736.4,129.0205410002609,481.2,111.72152881159477,1255.2,91.90865030017576,1252.4,92.55160722537453,1229.2,89.47178326154007,0.27556899993794376,0.05303677029285162,0.7244310000620562,0.05303677029285162,0.997723035185769,0.0019926589603769793,0.9815871675256223,0.00721552287212347
1,SMILES,2,512,512,0.001,1768.8,68.8999274310213,395.8,39.11137941827161,1373.0,41.8867520822515,1367.8,40.91087874881203,1318.6,39.90363391973217,0.22346179696772211,0.015393770840021932,0.7765382030322778,0.015393770840021932,0.9962277817805794,0.0012736051607942377,0.9640247473294741,0.0029014490966548317
1,SMILES,3,256,256,0.001,1810.4,304.3251550562326,681.2,458.6340589184366,1129.2,199.5424766810315,1128.8,199.24156192923203,1126.6,198.44092319882006,0.3561120949546644,0.1644648690660067,0.6438879050453357,0.16446486906600674,0.99968,0.0007155417527999532,0.9981163673521856,0.0013623359298661425
1,SMILES,3,256,512,0.001,1875.0,76.3053078101386,570.8,67.40326401592137,1304.2,80.10742787032923,1303.4,80.22967032214454,1299.8,78.75087301103399,0.3044035543627083,0.03218209334195537,0.6955964456372918,0.03218209334195537,0.9993822360669189,0.0008459118864703417,0.9972851765541353,0.0019777547687306898
1,SMILES,3,512,256,0.001,1858.4,345.7185271286455,343.8,89.17791206347007,1514.6,275.59444842013784,1511.0,275.1481419163139,1475.2,272.3953009873702,0.18433649878001196,0.025529514565694713,0.815663501219988,0.0255295145656947,0.9976182981255297,0.0015185157906595734,0.9758518955303079,0.006023561258451528
1,SMILES,3,512,512,0.001,1930.8,107.70190341864901,353.2,24.923884127479006,1577.6,83.59605253838245,1573.0,83.18052656722004,1511.2,86.79688934518333,0.18283211667049876,0.003571641457684494,0.8171678833295013,0.0035716414576845083,0.9970894749654147,0.001909036595828144,0.9605387978154438,0.005560429259852658
1,fragSMILES,2,256,256,0.001,1868.8,143.5851663647746,576.4,104.34222539317436,1292.4,65.03306851133506,1291.8,66.17174623659254,1283.2,70.17620679404095,0.30683602306421026,0.03360476734379637,0.6931639769357898,0.03360476734379636,0.9994974874371859,0.0011236522499998745,0.9931967187481362,0.005357387316530474
1,fragSMILES,2,256,512,0.001,1732.8,106.99626161693688,439.0,48.088460154178364,1293.8,72.03610206000877,1292.8,72.80934006018734,1280.6,73.4186624776017,0.2529848048366188,0.016543005620614896,0.7470151951633811,0.01654300562061488,0.9991982700612143,0.0011198008915291335,0.9905207727338585,0.0037243046605099504
1,fragSMILES,2,512,256,0.001,1768.8,185.80688900038126,373.6,47.52683452535,1395.2,151.52953507484935,1394.4,151.10526132468055,1371.6,146.06265778767687,0.21126476020519097,0.015965265872539654,0.7887352397948091,0.015965265872539644,0.9994519619808008,0.0007505378649253539,0.9838042391278965,0.002373896686656326
1,fragSMILES,2,512,512,0.001,1774.0,86.65737129638771,330.4,31.484917023870338,1443.6,65.0561296112826,1438.0,63.067424237874185,1395.4,57.116547514708905,0.1860559157338712,0.012232634710236346,0.8139440842661287,0.012232634710236352,0.996164079488971,0.001685860643269231,0.970491895708593,0.007573650299787588
1,fragSMILES,3,256,256,0.001,1899.6,86.52340723757935,648.4,40.016246700559016,1251.2,69.05939472656851,1251.2,69.05939472656851,1242.8,68.43025646598149,0.34141291733520496,0.016909547296375033,0.658587082664795,0.01690954729637504,1.0,0.0,0.9932932235967981,0.002581427730012506
1,fragSMILES,3,256,512,0.001,1841.8,82.85951967034326,551.8,63.219459029637385,1290.0,73.79701890998037,1289.6,72.991780359161,1271.4,71.74468621438106,0.29943419308332403,0.029063471175773906,0.700565806916676,0.02906347117577389,0.9997161107168203,0.0006347957352731621,0.9858935320510478,0.0019719803000787985
1,fragSMILES,3,512,256,0.001,1807.0,156.81039506359264,446.8,69.3664183881509,1360.2,88.33855330488495,1358.0,89.78864070694021,1323.6,91.80577323894178,0.24610053424619166,0.017348558822288966,0.7538994657538083,0.017348558822288966,0.9983258603697717,0.0021447610158798203,0.9745055615223762,0.005813233161675582
1,fragSMILES,3,512,512,0.001,1793.6,78.53852557821543,382.2,27.0129598526337,1411.4,82.2848710274252,1406.6,79.3712794403618,1352.8,72.3443156025406,0.2133798543422189,0.01716641295844752,0.7866201456577812,0.01716641295844753,0.996680686896541,0.001846753101800723,0.961876696283718,0.005481815321396519
1,t-SMILES,2,256,256,0.001,1913.4,180.089699872036,1202.8,160.74731724044418,710.6,81.10980212033562,710.6,81.10980212033562,710.6,81.10980212033562,0.6275680170058766,0.040659603779790485,0.3724319829941234,0.040659603779790485,1.0,0.0,1.0,0.0
1,t-SMILES,2,256,512,0.001,1942.6,193.07848145249125,1105.4,169.11031902282014,837.2,49.63567265586315,837.2,49.63567265586315,837.2,49.63567265586315,0.5667671043345084,0.03598785523615467,0.43323289566549167,0.0359878552361547,1.0,0.0,1.0,0.0
1,t-SMILES,2,512,256,0.001,1690.2,122.1585035926685,915.4,188.27453359389847,774.8,101.90044160846409,774.8,101.90044160846409,773.8,101.83172393709144,0.538191649757714,0.07987777482840654,0.46180835024228595,0.07987777482840652,1.0,0.0,0.998704791370604,0.0012334789993979321
1,t-SMILES,2,512,512,0.001,1843.3333333333333,91.63550985653251,1009.6666666666666,49.082243904152,833.6666666666666,50.59117182539525,833.0,50.72277594927155,830.1666666666666,49.94163259913183,0.5478676451739065,0.010867782394469313,0.45213235482609354,0.010867782394469302,0.9991925554788189,0.0012512850006623992,0.996633996169965,0.0019170197702897656
1,t-SMILES,3,256,256,0.001,1656.4,217.81712513023396,844.8,140.69896943474745,811.6,95.21449469487301,811.2,94.89573225387957,811.0,95.06839643120105,0.5083392609288054,0.03101694124157949,0.49166073907119456,0.031016941241579474,0.9995418098510882,0.0010245443195875288,0.9997319034852546,0.0005994820315012846
1,t-SMILES,3,256,512,0.001,1877.4,84.71894711338192,1003.8,76.3360989309776,873.6,44.78615857606008,873.6,44.78615857606008,873.2,44.78504214578792,0.5343203791583185,0.0234248314402851,0.46567962084168146,0.02342483144028511,1.0,0.0,0.9995422855609162,0.0006268066884674379
1,t-SMILES,3,512,256,0.001,1960.2,183.2176301560524,967.6,52.51952018059571,992.6,153.97662160211206,992.2,153.90971379350947,990.2,153.1051925964629,0.4957049981527494,0.03547615942050533,0.5042950018472505,0.03547615942050531,0.9996055226824458,0.0008820780976330577,0.9980485854147144,0.0012787394986167185
1,t-SMILES,3,512,512,0.001,1890.4,127.13300122312853,951.0,98.89135452606563,939.4,29.11700534052223,939.4,29.11700534052223,937.2,29.149614062625254,0.5020655493481364,0.01902061986692466,0.49793445065186354,0.01902061986692466,1.0,0.0,0.9976566654492162,0.0013839761674726068
5,SELFIES,2,256,256,0.001,1815.6,129.11932465746557,682.8,77.4738665615703,1132.8,67.49592580296978,1132.8,67.49592580296978,1132.8,67.49592580296978,0.3754123744157313,0.022036249642561387,0.6245876255842687,0.0220362496425614,1.0,0.0,1.0,0.0
5,SELFIES,2,256,512,0.001,1811.8,69.5571707302705,724.8,46.402586134826585,1087.0,32.76430985081175,1087.0,32.76430985081175,1087.0,32.76430985081175,0.3997797616121047,0.01332986705360427,0.6002202383878953,0.013329867053604285,1.0,0.0,1.0,0.0
5,SELFIES,2,512,256,0.001,1894.0,115.79723658188048,519.0,39.01281840626232,1375.0,82.64683902001335,1375.0,82.64683902001335,1373.8,82.85951967034326,0.27394412854240213,0.009092133519420438,0.7260558714575979,0.00909213351942043,1.0,0.0,0.9991157667792858,0.0006411458100040072
5,SELFIES,2,512,512,0.001,1872.2,195.31692194994267,562.8,61.128553066468044,1309.4,138.47310208123454,1309.4,138.47310208123454,1309.4,138.47310208123454,0.3006294583879515,0.010701348761191833,0.6993705416120485,0.01070134876119185,1.0,0.0,1.0,0.0
5,SELFIES,3,256,256,0.001,1899.0,99.91496384426108,683.2,66.73230102431656,1215.8,48.14249681933831,1215.8,48.14249681933831,1215.8,48.14249681933831,0.3591994910086691,0.019719819374253256,0.6408005089913309,0.01971981937425327,1.0,0.0,1.0,0.0
5,SELFIES,3,256,512,0.001,1844.4,64.75955527951068,719.2,32.77499046529228,1125.2,46.94358316106686,1125.2,46.94358316106686,1125.2,46.94358316106686,0.38996715426255574,0.01247500075283576,0.6100328457374442,0.012475000752835764,1.0,0.0,1.0,0.0
5,SELFIES,3,512,256,0.001,1939.2,59.58775041902488,525.2,25.577333715616252,1414.0,61.461369981476984,1414.0,61.461369981476984,1413.6,61.38648059630068,0.27099142538483706,0.014569588728155065,0.7290085746151631,0.014569588728155022,1.0,0.0,0.9997184062605399,0.00038626782377647914
5,SELFIES,3,512,512,0.001,1872.8,157.98006203315657,573.4,57.704419241510436,1299.4,103.97259254245805,1299.4,103.97259254245805,1299.2,103.683171247797,0.3059200104207227,0.010104719913922845,0.6940799895792773,0.01010471991392282,1.0,0.0,0.9998591549295774,0.0003149391517605333
5,SMILES,2,256,256,0.001,1842.2,96.8901439775997,453.0,36.20082871979591,1389.2,78.00128204074598,1389.2,78.00128204074598,1388.8,77.66723891062435,0.24590897727932104,0.014874994713341253,0.7540910227206791,0.014874994713341277,1.0,0.0,0.9997224749115589,0.0003800583673723683
5,SMILES,2,256,512,0.001,1844.2,65.9446737803744,510.2,34.25200724045235,1334.0,67.65722430014404,1334.0,67.65722430014404,1333.6,67.72222677969177,0.2768255926759338,0.01949808795368026,0.7231744073240662,0.019498087953680226,1.0,0.0,0.9996967821852957,0.0004168435893569394
