,,,,,,FCD/Test,FCD/Test,SNN/Test,SNN/Test,Scaf/Test,Scaf/Test,IntDiv,IntDiv,IntDiv2,IntDiv2,Filters,Filters,logP,logP,SA,SA,QED,QED,weight,weight
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
aug,notation,hl,hu,bs,lr,,,,,,,,,,,,,,,,,,,,
1,SELFIES,2,256,256,0.001,10.638886490989837,0.43623101312773654,0.32019103449136016,0.006565962344787746,0.12698219692227028,0.04074852565078482,0.8842561931684614,0.0036509754106307172,0.8796294863852896,0.0035536111020132263,0.4383333333333333,0.019006212434651743,0.8758490690973325,0.42249106633256317,1.2691033103056724,0.12744030482239804,0.05125108471548008,0.02218770709919212,11.772781968245972,5.082192777858965
1,SELFIES,2,256,512,0.001,9.451566134352621,0.1503643671434934,0.3281958014761408,0.00217584690267959,0.1786940549583884,0.012054950406345175,0.8838818485975187,0.00048460742366637994,0.8791968739618874,0.00042813742998391375,0.45649999999999996,0.014927603067248729,0.3436702312398462,0.08723999740866308,1.129310617853718,0.036488779844880026,0.03056761713784384,0.010748531760432365,9.116322062956414,3.9930902923169014
1,SELFIES,2,512,256,0.001,6.016947849229602,0.4109157162776727,0.37146946815202625,0.006598687048725406,0.25160666387702196,0.047258666765899245,0.8797283435266097,0.0016318600419963029,0.8748931368205997,0.0016501667787720167,0.5672666666666666,0.014548100295991306,0.2616082495350186,0.18106420656298458,0.783058331454933,0.09302913623951416,0.021559423568807096,0.008288885143129684,6.2755462883949615,2.4801769527670006
1,SELFIES,2,512,512,0.001,5.527838282539568,0.20716490833159312,0.3768483914226293,0.004777527265764853,0.2535177219547647,0.042642653168945055,0.8795861289580756,0.001251872934125435,0.8747427711862505,0.0012058635782295354,0.5776666666666667,0.00790217972741979,0.20064579526065512,0.08856104949746127,0.7448468775865105,0.044273441212139095,0.01939960005583732,0.003043664536885293,4.536643325460756,2.6756462593441572
1,SELFIES,3,256,256,0.001,10.009895273823576,0.7490871020000065,0.32679871834541363,0.0065479171626286045,0.1843524434327421,0.032414108560454784,0.8842141099358386,0.0013041222544237388,0.8794539861747432,0.0012396038848903467,0.44413333333333327,0.040393790776966386,0.3317210268772778,0.1350919704561192,1.0957629546480439,0.1154874673058279,0.043428667059910366,0.030997391632418096,17.580320068573744,7.559513869368563
1,SELFIES,3,256,512,0.001,9.037776699854234,0.36800852236220283,0.331171341846014,0.0028663872105130286,0.1889470633264635,0.020556291641731124,0.8827213740866489,0.001224330364448782,0.8780389974340256,0.0012280820047535473,0.4701666666666666,0.013010679374182474,0.3049265987291595,0.10052774834074081,1.0713749813148656,0.05471551365602155,0.0375029678983509,0.012181352283656119,8.33351366433105,1.4650681155312113
1,SELFIES,3,512,256,0.001,6.9577030333423195,1.2480074366929068,0.35970321473951145,0.013560990852081362,0.24465278140104232,0.08890602863298254,0.8812629581225766,0.0017279781716890872,0.8764198157556858,0.0016314668441017345,0.5578333333333333,0.05117005960520275,0.4306645401558672,0.3928500714534217,0.8365306477470933,0.15238648515247874,0.03607778385599082,0.01718531502454678,13.22667294316245,10.043932592744072
1,SELFIES,3,512,512,0.001,5.160954253439985,0.6593570298438416,0.3781722483369211,0.012045526775009772,0.27852299139045145,0.03985730034750505,0.8806016350001018,0.0004984273779550698,0.8755987261225968,0.0005397794472145761,0.6007999999999999,0.027890510134372864,0.12004608889759905,0.046265684677607284,0.6979989284773915,0.09046648488642992,0.01942166526199884,0.006694893661723693,8.597915149831765,5.450359366660431
1,SMILES,2,256,256,0.001,2.0535919831479164,0.5262368647669932,0.41463047839328643,0.017391565447919047,0.24826193782216216,0.08863486837551687,0.8653913946256001,0.002290339074004529,0.8598950376342177,0.0018987569472680346,0.7939666666666667,0.06671970806624117,0.44635153105731706,0.27630534331680406,0.13116256955541225,0.1319899784266254,0.06416748989069018,0.05342952563121035,36.746627747124734,30.092405444767977
1,SMILES,2,256,512,0.001,1.2727607296722454,0.061687148074740066,0.4191353394503395,0.0036789023754779026,0.27244622356232834,0.03428427221455698,0.8684393294971361,0.0009109033478316058,0.8628898969010805,0.0008106801264469727,0.8334333333333334,0.010260225252021625,0.13690871026916165,0.03075666025175445,0.04576879216422745,0.017812136296465143,0.019863250515049162,0.005619792954082879,13.666015768621154,3.983601173883811
1,SMILES,2,512,256,0.001,1.4657290938308136,0.21856693716325523,0.46358605002611875,0.017616019057245826,0.3123092113108782,0.0720800291283876,0.8677304508581374,0.004614670471898368,0.862087135892669,0.0042448319662951395,0.8183,0.02647309955407563,0.42704276344311276,0.21221080001238862,0.0960545721494657,0.06479014035533905,0.056554680107509955,0.018409834163706625,31.49454752503175,8.90520697372919
1,SMILES,2,512,512,0.001,0.8463735707386093,0.12826338074590482,0.4857312773048877,0.002883401258524596,0.379318223759753,0.04238407441080642,0.8691508877991516,0.0010661791056699305,0.8634329792228248,0.0010867958986714146,0.8486666666666667,0.004795831523312699,0.08093981613465202,0.028778184589426877,0.05087087838904406,0.02695105389441822,0.02349660345454522,0.011019873751029034,13.69228574340294,4.244029593159581
1,SMILES,3,256,256,0.001,2.366807175023814,0.690992457073813,0.4194493324687083,0.020195860803988445,0.27596704068091,0.07714379377396527,0.8694265162322363,0.0013903747051164765,0.8636524843063926,0.001710338607144143,0.8226333333333333,0.04896844221877326,0.24143676484107393,0.17751324788830067,0.178672902271206,0.13422998955611573,0.04649365211014126,0.009675334893817087,29.047695286380566,8.612396690428268
1,SMILES,3,256,512,0.001,1.2839709092138605,0.08683945669739183,0.42833609309370324,0.008978885735006525,0.31479530023333163,0.042463032524847885,0.8695814421829727,0.0014980395943131252,0.8638014781650526,0.0012985957948119444,0.8440333333333333,0.014330135302144855,0.16260502732321874,0.11551587454006662,0.06083804399490598,0.023016342956768833,0.030097212868048902,0.018436851630290994,21.003349456196098,11.448856913799712
1,SMILES,3,512,256,0.001,1.1640330333869513,0.09494834576066971,0.48396989184121286,0.011338072158468932,0.3423383222132955,0.07064231363961353,0.8674500180418331,0.002348273384118068,0.8617697091215877,0.002169907172250605,0.8388666666666668,0.017282135927663044,0.3081340412610008,0.14208179503476517,0.08916853757005457,0.04223507032463513,0.02513600520789616,0.017976134444756937,14.792005946469724,15.825219432662461
