dataset,aug,notation,hl,hu,es,lr,bs,amount,epoch,T,chirals,invalid,valid,unique,novel,invalid%,valid%,unique%,novel%
grisoni,-1,SELFIES,2,256,-1,0.001,256,6000,6,1.0,2200.0 ± 700.0,1000.0 ± 400.0,1200.0 ± 300.0,1200.0 ± 300.0,1200.0 ± 300.0,0.46 ± 0.05,0.54 ± 0.05,1.0 ± 0.0,1.0 ± 0.0
grisoni,-1,SELFIES,2,256,-1,0.001,512,6000,10,1.0,1900.0 ± 100.0,900.0 ± 70.0,1030.0 ± 40.0,1030.0 ± 40.0,1030.0 ± 40.0,0.466 ± 0.008,0.534 ± 0.008,0.9996 ± 0.0009,0.9998 ± 0.0004
grisoni,-1,SELFIES,2,512,-1,0.001,256,6000,6,1.0,1800.0 ± 100.0,710.0 ± 80.0,1140.0 ± 90.0,1140.0 ± 90.0,1130.0 ± 90.0,0.38 ± 0.02,0.62 ± 0.02,0.999 ± 0.001,0.996 ± 0.002
grisoni,-1,SELFIES,2,512,-1,0.001,512,6000,10,1.0,1820.0 ± 40.0,670.0 ± 40.0,1150.0 ± 20.0,1150.0 ± 20.0,1140.0 ± 20.0,0.37 ± 0.01,0.63 ± 0.01,0.9996 ± 0.0008,0.9938 ± 0.0007
grisoni,-1,SELFIES,3,256,-1,0.001,256,6000,6,1.0,1800.0 ± 400.0,800.0 ± 200.0,1000.0 ± 200.0,1000.0 ± 200.0,1000.0 ± 200.0,0.46 ± 0.04,0.54 ± 0.04,1.0 ± 0.0,0.9998 ± 0.0005
grisoni,-1,SELFIES,3,256,-1,0.001,512,6000,10,1.0,2000.0 ± 100.0,980.0 ± 100.0,1070.0 ± 60.0,1070.0 ± 60.0,1070.0 ± 60.0,0.48 ± 0.02,0.52 ± 0.02,1.0 ± 0.0,0.9998 ± 0.0004
grisoni,-1,SELFIES,3,512,-1,0.001,256,6000,6,1.0,2000.0 ± 400.0,800.0 ± 200.0,1200.0 ± 200.0,1200.0 ± 200.0,1200.0 ± 200.0,0.4 ± 0.02,0.6 ± 0.02,0.999 ± 0.001,0.997 ± 0.002
grisoni,-1,SELFIES,3,512,-1,0.001,512,6000,10,1.0,1800.0 ± 200.0,670.0 ± 90.0,1200.0 ± 100.0,1200.0 ± 100.0,1200.0 ± 100.0,0.37 ± 0.03,0.63 ± 0.03,1.0 ± 0.0,0.994 ± 0.003
grisoni,-1,SMILES,2,256,-1,0.001,256,6000,6,1.0,1900.0 ± 200.0,800.0 ± 300.0,1100.0 ± 300.0,1100.0 ± 300.0,1100.0 ± 300.0,0.4 ± 0.2,0.6 ± 0.2,1.0 ± 0.0,0.9993 ± 0.0007
grisoni,-1,SMILES,2,256,-1,0.001,512,6000,10,1.0,1890.0 ± 70.0,690.0 ± 80.0,1201.0 ± 7.0,1201.0 ± 7.0,1198.0 ± 8.0,0.36 ± 0.02,0.64 ± 0.02,1.0 ± 0.0,0.998 ± 0.002
