dataset     ,grisoni         ,grisoni       ,grisoni         ,grisoni         ,grisoni         ,grisoni        ,grisoni       ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni       ,grisoni         ,grisoni         ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni       ,grisoni         ,grisoni         ,grisoni       ,grisoni       ,grisoni
aug         ,5.0             ,5.0           ,5.0             ,5.0             ,5.0             ,5.0            ,5.0           ,5.0             ,5.0           ,5.0           ,5.0           ,5.0             ,5.0           ,5.0             ,5.0             ,5.0             ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan             ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan           ,nan             ,nan           ,nan             ,nan             ,nan           ,nan           ,nan
notation    ,SELFIES         ,SELFIES       ,SELFIES         ,SELFIES         ,SELFIES         ,SELFIES        ,SELFIES       ,SELFIES         ,SMILES        ,SMILES        ,SMILES        ,SMILES          ,SMILES        ,SMILES          ,SMILES          ,SMILES          ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,SELFIES         ,SELFIES       ,SELFIES       ,SELFIES       ,SELFIES       ,SELFIES       ,SELFIES         ,SMILES          ,SMILES        ,SMILES        ,SMILES        ,SMILES        ,SMILES        ,SMILES        ,fragSMILES      ,fragSMILES    ,fragSMILES      ,fragSMILES      ,fragSMILES    ,fragSMILES    ,fragSMILES
hl          ,2               ,2             ,2               ,2               ,3               ,3              ,3             ,3               ,2             ,2             ,2             ,2               ,3             ,3               ,3               ,3               ,2             ,2             ,2             ,2             ,3             ,3             ,3             ,3             ,2               ,2             ,2             ,3             ,3             ,3             ,3               ,2               ,2             ,2             ,3             ,3             ,3             ,3             ,2               ,2             ,2               ,3               ,3             ,3             ,3
hu          ,256             ,256           ,512             ,512             ,256             ,256            ,512           ,512             ,256           ,256           ,512           ,512             ,256           ,256             ,512             ,512             ,256           ,256           ,512           ,512           ,256           ,256           ,512           ,512           ,256             ,512           ,512           ,256           ,256           ,512           ,512             ,256             ,512           ,512           ,256           ,256           ,512           ,512           ,256             ,512           ,512             ,256             ,256           ,512           ,512
es          ,nan             ,nan           ,nan             ,nan             ,nan             ,nan            ,nan           ,nan             ,nan           ,nan           ,nan           ,nan             ,nan           ,nan             ,nan             ,nan             ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan             ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan           ,300.0           ,300.0         ,300.0           ,300.0           ,300.0         ,300.0         ,300.0
lr          ,0.001           ,0.001         ,0.001           ,0.001           ,0.001           ,0.001          ,0.001         ,0.001           ,0.001         ,0.001         ,0.001         ,0.001           ,0.001         ,0.001           ,0.001           ,0.001           ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001           ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001           ,0.001           ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001           ,0.001         ,0.001           ,0.001           ,0.001         ,0.001         ,0.001
bs          ,256             ,512           ,256             ,512             ,256             ,512            ,256           ,512             ,256           ,512           ,256           ,512             ,256           ,512             ,256             ,512             ,256           ,512           ,256           ,512           ,256           ,512           ,256           ,512           ,512             ,256           ,512           ,256           ,512           ,256           ,512             ,512             ,256           ,512           ,256           ,512           ,256           ,512           ,512             ,256           ,512             ,256             ,512           ,256           ,512
amount      ,6000            ,6000          ,6000            ,6000            ,6000            ,6000           ,6000          ,6000            ,6000          ,6000          ,6000          ,6000            ,6000          ,6000            ,6000            ,6000            ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000            ,6000          ,6000          ,6000          ,6000          ,6000          ,6000            ,6000            ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000            ,6000          ,6000            ,6000            ,6000          ,6000          ,6000
epoch       ,3               ,3             ,3               ,3               ,3               ,3              ,3             ,3               ,3             ,3             ,3             ,3               ,3             ,3               ,3               ,3               ,4             ,4             ,4             ,4             ,4             ,4             ,4             ,4             ,10              ,6             ,10            ,6             ,10            ,6             ,10              ,10              ,6             ,10            ,6             ,10            ,6             ,10            ,16              ,8             ,16              ,8               ,16            ,8             ,16
