dataset,aug,notation,hl,hu,es,lr,bs,amount,epoch,T,valid,unique,novel,valid%,unique%,novel%
grisoni,-1,SELFIES,2,256,-1,0.001,256,6000,6,1.0,6000.0 ± 0.0,5999.0 ± 2.0,5999.0 ± 2.0,1.0 ± 0.0,0.9998 ± 0.0003,0.99997 ± 7e-05
grisoni,-1,SELFIES,2,256,-1,0.001,512,6000,10,1.0,5999.8 ± 0.4,5999.0 ± 2.0,5998.0 ± 2.0,0.99997 ± 7e-05,0.9999 ± 0.0003,0.9998 ± 0.0001
grisoni,-1,SELFIES,2,512,-1,0.001,256,6000,6,1.0,6000.0 ± 0.0,5998.0 ± 1.0,5978.0 ± 4.0,1.0 ± 0.0,0.9997 ± 0.0002,0.9967 ± 0.0005
grisoni,-1,SELFIES,2,512,-1,0.001,512,6000,10,1.0,6000.0 ± 0.0,5999.0 ± 2.0,5971.0 ± 2.0,1.0 ± 0.0,0.9998 ± 0.0003,0.9953 ± 0.0006
grisoni,-1,SELFIES,3,256,-1,0.001,256,6000,6,1.0,5999.8 ± 0.4,5999.4 ± 0.9,5998.0 ± 2.0,0.99997 ± 7e-05,0.9999 ± 0.0001,0.9998 ± 0.0002
grisoni,-1,SELFIES,3,256,-1,0.001,512,6000,10,1.0,5999.4 ± 0.9,5999.4 ± 0.9,5998.0 ± 2.0,0.9999 ± 0.0001,1.0 ± 0.0,0.9998 ± 0.0003
grisoni,-1,SELFIES,3,512,-1,0.001,256,6000,6,1.0,6000.0 ± 0.0,5999.0 ± 1.0,5986.0 ± 10.0,1.0 ± 0.0,0.9999 ± 0.0002,0.998 ± 0.002
grisoni,-1,SELFIES,3,512,-1,0.001,512,6000,10,1.0,6000.0 ± 0.0,5999.6 ± 0.9,5978.0 ± 9.0,1.0 ± 0.0,0.9999 ± 0.0001,0.996 ± 0.001
grisoni,-1,SMILES,2,256,-1,0.001,256,6000,6,1.0,3800.0 ± 1000.0,3800.0 ± 1000.0,3800.0 ± 1000.0,0.6 ± 0.2,0.9998 ± 0.0003,0.9988 ± 0.0005
grisoni,-1,SMILES,2,256,-1,0.001,512,6000,10,1.0,4100.0 ± 100.0,4100.0 ± 100.0,4100.0 ± 100.0,0.69 ± 0.02,0.9999 ± 0.0002,0.9985 ± 0.0008
grisoni,-1,SMILES,2,512,-1,0.001,256,6000,6,1.0,4600.0 ± 300.0,4600.0 ± 300.0,4500.0 ± 300.0,0.77 ± 0.05,0.9989 ± 0.0005,0.984 ± 0.006
grisoni,-1,SMILES,2,512,-1,0.001,512,6000,10,1.0,4930.0 ± 70.0,4920.0 ± 70.0,4770.0 ± 60.0,0.82 ± 0.01,0.997 ± 0.001,0.97 ± 0.002
grisoni,-1,SMILES,3,256,-1,0.001,256,6000,6,1.0,4000.0 ± 1000.0,4000.0 ± 1000.0,4000.0 ± 1000.0,0.7 ± 0.2,0.9997 ± 0.0004,0.9982 ± 0.001
grisoni,-1,SMILES,3,256,-1,0.001,512,6000,10,1.0,4500.0 ± 100.0,4500.0 ± 100.0,4500.0 ± 100.0,0.75 ± 0.02,0.9996 ± 0.0002,0.998 ± 0.001
grisoni,-1,SMILES,3,512,-1,0.001,256,6000,6,1.0,5120.0 ± 90.0,5110.0 ± 80.0,5000.0 ± 70.0,0.85 ± 0.01,0.9979 ± 0.0007,0.978 ± 0.003
grisoni,-1,SMILES,3,512,-1,0.001,512,6000,10,1.0,5090.0 ± 50.0,5080.0 ± 50.0,4910.0 ± 60.0,0.849 ± 0.008,0.9976 ± 0.0009,0.966 ± 0.003
grisoni,-1,fragSMILES,2,256,300,0.001,256,6000,8,1.0,4700.0 ± 200.0,4700.0 ± 200.0,4700.0 ± 200.0,0.79 ± 0.03,0.9997 ± 0.0007,0.993 ± 0.002
grisoni,-1,fragSMILES,2,256,300,0.001,512,6000,16,1.0,5010.0 ± 70.0,5000.0 ± 70.0,4940.0 ± 60.0,0.83 ± 0.01,0.9992 ± 0.001,0.988 ± 0.002
grisoni,-1,fragSMILES,2,512,300,0.001,256,6000,8,1.0,5200.0 ± 90.0,5200.0 ± 90.0,5110.0 ± 80.0,0.87 ± 0.01,0.9993 ± 0.0003,0.984 ± 0.003
grisoni,-1,fragSMILES,2,512,300,0.001,512,6000,16,1.0,5280.0 ± 20.0,5270.0 ± 30.0,5110.0 ± 40.0,0.88 ± 0.004,0.9976 ± 0.0005,0.971 ± 0.004
grisoni,-1,fragSMILES,3,256,300,0.001,256,6000,8,1.0,4600.0 ± 100.0,4600.0 ± 100.0,4500.0 ± 100.0,0.76 ± 0.02,0.9997 ± 0.0005,0.993 ± 0.001
grisoni,-1,fragSMILES,3,256,300,0.001,512,6000,16,1.0,4800.0 ± 90.0,4800.0 ± 80.0,4740.0 ± 80.0,0.8 ± 0.01,0.9994 ± 0.0005,0.987 ± 0.002
grisoni,-1,fragSMILES,3,512,300,0.001,256,6000,8,1.0,5050.0 ± 60.0,5040.0 ± 60.0,4940.0 ± 50.0,0.841 ± 0.01,0.9986 ± 0.0009,0.979 ± 0.003
grisoni,-1,fragSMILES,3,512,300,0.001,512,6000,16,1.0,5150.0 ± 50.0,5140.0 ± 40.0,4950.0 ± 40.0,0.859 ± 0.008,0.997 ± 0.002,0.963 ± 0.003
grisoni,5,SELFIES,2,256,-1,0.001,256,6000,3,1.0,6000.0 ± 0.0,6000.0 ± 0.0,5999.0 ± 1.0,1.0 ± 0.0,1.0 ± 0.0,0.9999 ± 0.0002
grisoni,5,SELFIES,2,256,-1,0.001,512,6000,3,1.0,5999.8 ± 0.4,5999.0 ± 1.0,5999.0 ± 1.0,0.99997 ± 7e-05,0.9998 ± 0.0002,1.0 ± 0.0
grisoni,5,SELFIES,2,512,-1,0.001,256,6000,3,1.0,6000.0 ± 0.0,6000.0 ± 0.0,5997.0 ± 1.0,1.0 ± 0.0,1.0 ± 0.0,0.9996 ± 0.0002
grisoni,5,SELFIES,2,512,-1,0.001,512,6000,3,1.0,6000.0 ± 0.0,5999.6 ± 0.9,5998.0 ± 2.0,1.0 ± 0.0,0.9999 ± 0.0001,0.9998 ± 0.0002
grisoni,5,SELFIES,3,256,-1,0.001,256,6000,3,1.0,5999.8 ± 0.4,5999.8 ± 0.4,5999.4 ± 0.9,0.99997 ± 7e-05,1.0 ± 0.0,0.99993 ± 9e-05
grisoni,5,SELFIES,3,256,-1,0.001,512,6000,3,1.0,5999.8 ± 0.4,5999.8 ± 0.4,5999.2 ± 0.8,0.99997 ± 7e-05,1.0 ± 0.0,0.9999 ± 9e-05
grisoni,5,SELFIES,3,512,-1,0.001,256,6000,3,1.0,6000.0 ± 0.0,5999.6 ± 0.9,5997.8 ± 0.8,1.0 ± 0.0,0.9999 ± 0.0001,0.9997 ± 0.0001
grisoni,5,SELFIES,3,512,-1,0.001,512,6000,3,1.0,6000.0 ± 0.0,6000.0 ± 0.0,5999.4 ± 0.9,1.0 ± 0.0,1.0 ± 0.0,0.9999 ± 0.0001
grisoni,5,SMILES,2,256,-1,0.001,256,6000,3,1.0,4900.0 ± 100.0,4900.0 ± 100.0,4900.0 ± 100.0,0.82 ± 0.02,1.0 ± 0.0,0.99963 ± 9e-05
grisoni,5,SMILES,2,256,-1,0.001,512,6000,3,1.0,4730.0 ± 80.0,4730.0 ± 80.0,4730.0 ± 80.0,0.79 ± 0.01,0.9998 ± 0.0003,0.9997 ± 0.0002
grisoni,5,SMILES,2,512,-1,0.001,256,6000,3,1.0,5300.0 ± 40.0,5300.0 ± 40.0,5280.0 ± 40.0,0.883 ± 0.007,0.9999 ± 0.0002,0.997 ± 0.0009
grisoni,5,SMILES,2,512,-1,0.001,512,6000,3,1.0,5220.0 ± 50.0,5220.0 ± 50.0,5210.0 ± 50.0,0.87 ± 0.009,1.0 ± 0.0,0.9982 ± 0.0006
grisoni,5,SMILES,3,256,-1,0.001,256,6000,3,1.0,5170.0 ± 30.0,5170.0 ± 30.0,5170.0 ± 30.0,0.862 ± 0.004,1.0 ± 0.0,0.9993 ± 0.0005
grisoni,5,SMILES,3,256,-1,0.001,512,6000,3,1.0,5020.0 ± 50.0,5020.0 ± 50.0,5020.0 ± 40.0,0.837 ± 0.008,1.0 ± 0.0,0.9995 ± 0.0004
grisoni,5,SMILES,3,512,-1,0.001,256,6000,3,1.0,5470.0 ± 50.0,5470.0 ± 50.0,5450.0 ± 50.0,0.912 ± 0.008,1.0 ± 0.0,0.9969 ± 0.0007
grisoni,5,SMILES,3,512,-1,0.001,512,6000,3,1.0,5390.0 ± 30.0,5390.0 ± 30.0,5370.0 ± 30.0,0.898 ± 0.005,1.0 ± 0.0,0.998 ± 0.0006
grisoni,5,fragSMILES,2,256,300,0.001,256,6000,4,1.0,5230.0 ± 70.0,5230.0 ± 70.0,5180.0 ± 70.0,0.87 ± 0.01,0.999 ± 0.001,0.991 ± 0.002
